name, real width, real height, width, height, 
SOT323, 3, 2.8
SOT523, 2, 2.3
SOT723, 2, 1.7
SOT143, 1.3, 2.9, 18.17, 19.85
SOT343, 1.9, 2.3
SOT23-5, 3, 3.5
SOT323-5, 2.1, 2.8
SOT23-6, 2.7, 2.9
SOT363, 2.0, 2.5
SMA, 3, 5.5
SMB, 3.56, 5.44
SOD323F, 1.8, 3.4
2-SMD, 0.9, 1.9
SMD1210_C, 2.6, 3.5
SMD1206_R, 1.6, 3.2
SMD1206_C, 1.6, 3.2
SOD523, 1.3, 2.11
SOD110, 2, 2.5,  19.49, 12.07
SMD0402_D, 0.5, 1
SMD0402_CL, 0.5, 1
SMD0402_R, 0.5, 1
SMD0603_CL, 0.8, 1.6
SMD0603_R, 0.8, 1.6
SMD0603_D, 0.8, 1.6
SMD0805_CL, 1.3, 2.1
SMD0805_D, 1.3, 2.1
SMD0805_R, 1.3, 2.1
DIP-14, 19.177, 7.937
DIP-16, 19.18, 7.937
LQFP0.5-32, 9, 9
LQFP0.5-48, 9, 9
LQFP0.5-64, 12, 12
LQFP0.5-100, 16, 16
LQFP0.5-144, 22, 22
SOIC-8, 5, 6
SOIC-14, 8.95, 6
SOIC-16, 9.9, 6
SOIC-20, 12.8, 10.5
SSOP-10, 3.9, 6
SSOP-14, 5, 6.4
SSOP-16, 5.21, 6.4
SSOP-20, 6.5, 7.5
SSOP-28, 9.7, 6.4
TFSOP-10, 3, 4.9
BGA, 0.8, 0.8
LQFP0.4-120, 16, 16
LQFP0.4-128, 16, 16
LQFP0.4-176, 22, 22
LQFP0.4-184, 22, 22
LQFP0.4-256, 30, 30
LQFP0.8-44, 12, 12
LQFP0.8-48, 13, 13
LQFP0.8-64, 16, 16
LQFP0.8-120, 32, 32
