name, sym_h, sym_v, sym_d, threshold, pins
not elem
SOT323, 1, 0, 0, 0.34, "(0.27, 0.26), (0.73, 0.26), (0.5, 0.78)"
SOT523, 1, 0, 0, 0.34, "(0.27, 0.26), (0.73, 0.26), (0.5, 0.78)"
SOT23-5, 1, 0, 0, 0.34, "(0.74, 0.86), (0.5, 0.86), (0.26, 0.86), (0.26, 0.14), (0.74, 0.14)"
SOT323-5, 1, 0, 0, 0.34, "(0.74, 0.86), (0.5, 0.86), (0.26, 0.86), (0.26, 0.14), (0.74, 0.14)"
SOT23-6, 1, 1, 0, 0.4, "(0.74, 0.86), (0.5, 0.86), (0.26, 0.86), (0.26, 0.14), (0.5, 0.14), (0.74, 0.14)"
SOT363, 1, 1, 0, 0.34, "(0.74, 0.86), (0.5, 0.86), (0.26, 0.86), (0.26, 0.14), (0.5, 0.14), (0.74, 0.14)"
SOT343, 1, 1, 0, 0.4, "(0.74, 0.86), (0.26, 0.86), (0.26, 0.14), (0.74, 0.14)" 
SOT143, 1, 1, 0, 0.4, "(0.74, 0.86), (0.26, 0.86), (0.26, 0.14), (0.74, 0.14)" 
SOT723, 1, 0, 0, 0.34, "(0.26, 0.24), (0.74, 0.24), (0.5, 0.80)"
SMA, 1, 1, 0, 0.34, "(0.5, 0.14), (0.5, 0.86)"
SMB, 1, 1, 0, 0.34, "(0.5, 0.14), (0.5, 0.86)"
2-SMD, 1, 1, 0, 0.34, "(0.5, 0.14), (0.5, 0.86)"
SOD110, 1, 1, 0, 0.40, "(0.5, 0.14), (0.5, 0.86)" 
SOD323F, 1, 1, 0, 0.34, "(0.5, 0.14), (0.5, 0.86)"
SOD523, 1, 1, 0, 0.42, "(0.5, 0.14), (0.5, 0.86)"
SMD0402_CL, 1, 1, 0, 0.4, "(0.5, 0.26), (0.5, 0.74)"
SMD0402_R,  1, 1, 0, 0.4, "(0.5, 0.26), (0.5, 0.74)"
SMD0603_CL, 1, 1, 0, 0.4, "(0.5, 0.26), (0.5, 0.74)"
SMD0603_R,  1, 1, 0, 0.34, "(0.5, 0.26), (0.5, 0.74)"
SMD0603_D,  1, 1, 0, 0.34, "(0.5, 0.26), (0.5, 0.74)"
SMD0805_CL, 1, 1, 0, 0.4, "(0.5, 0.26), (0.5, 0.74)"
SMD0805_R,  1, 1, 0, 0.34, "(0.5, 0.22), (0.5, 0.78)"
SMD1210_C, 1, 1, 0, 0.34, "(0.5, 0.27), (0.5, 0.73)"
SMD1206_R,  1, 1, 0, 0.34, "(0.5, 0.22), (0.5, 0.78)" 
SMD1206_C, 1, 1, 0, 0.34, "(0.5, 0.26), (0.5, 0.74)"
SOIC-%d, 0, 0, 0, 0.34, multipin, 22, 29.21, 2, "4, 7, 8, 10, 12, 14"
LQFP0.65-%d&SSOP-%d, 0, 0, 0, 0.34, multipin, 0, 14.95, 3, "4, 7, 8, 10, 12, 13, 14, 15, 17, 19, 20, 28, 30, 33, 36, 40"
DIP-%d,  0, 0, 0, 0.4, multipin, 38, 58.42, 2, "2, 4, 7, 8, 9, 10, 12, 14, 20"
LQFP0.4-%d, 0, 0, 0, 0.34, multipin, 0, 9.2, 3, "12, 16, 30, 32,44, 46, 64"
LQFP0.5-%d&TFSOP-%d, 0, 0, 0, 0.34, multipin, 0, 11.5, 3, "5, 8, 10, 12, 14, 16, 18, 19, 20, 24, 25, 26, 28, 30, 31, 36, 38, 43, 44, 52, 60"
LQFP0.8-%d, 0, 0, 0, 0.34, multipin, 0, 19, 3, "4, 11, 12, 15, 16, 20, 22, 24, 25, 27, 30, 32"
